Atoll,Locality,Population,Area (in sq km),MapLink,wat_Funding,wat_Phase,wat_Status,wat_Network (m),wat_Connections (nos),wat_Tanks (m3),sew_Funding,sew_Phase,sew_Status,sew_Network,sew_Connections,har_Funding,har_hase ,har_Status,har_Info,des_Funding,des_Phase ,des_Status,Proposed_for_funding,Ongoing_Harbor_Project,Urban_centers
R,Rasmaadhoo,554,0.27,,,,,,,,,,,,,,,,,,,,,,
R,Ugoofaaru,1754,0.36,"5.66674252339579, 73.0303946904114",OFID,Phase 2,Completed,,,,,,,,,GOV (PSIP),,In progress,12% progress. Awarded to MTCC,,,,,,Yes
R,Vaadhoo,452,0.38,,,,,,,,,,,,,,,,,,,,,,
B,Dharavandhoo,997,0.67,"5.1568589135147205, 73.13014368857738",,,Completed,,,,OFID,Phase 3,Completed,,,GOV (PSIP),,In progress,28% progress. Awarded to MTCC,,,,Yes,,
B,Dhonfanu,398,0.17,"5.187318605522678, 73.12355447272809",GOV (PSIP),,In progress,,,,GOV (PSIP),,In progress,,,OFID,Phase 3,Completed,,,,,,,
B,Eydhafushi,2581,0.56,"5.102763654301251, 73.06735624935759",OFID,Phase 2,Completed,,,,,,,,,GOV (PSIP),,In progress,31% progress. Awarded to MTCC,,,,Yes,,Yes
B,Fehendhoo,198,0.25,,,,,,,,,,,,,,,,,,,,,,
B,Fulhadhoo,341,0.29,,,,,,,,,,,,,,,,,,,,,,
B,Goidhoo,583,1.63,,,,,,,,,,,,,,,,,,,,,,
B,Hithaadhoo,744,0.32,,,,,,,,,,,,,,,,,,,,,,
B,Kamadhoo,552,0.21,,,,,,,,,,,,,,,,,,,,,,
B,Kendhoo,1002,0.19,"5.274434109579362, 73.0096908351471",OFID,Phase 3,Completed,,,,OFID,Phase 3,Completed,,,,,Completed,,OFID,Phase 2,Completed,,,
B,Kihaadhoo,481,0.31,"5.214512720115935, 73.12601964636133",GOV (PSIP),,In progress,,,,GOV (PSIP),,In progress,,,OFID,Phase 3,Completed,,,,,,,
B,Kudarikilu,557,0.19,"5.300180717522526, 73.07278089512818",GOV (PSIP),,In progress,,,,GOV (PSIP),,In progress,,,OFID,Phase 3,Completed,,,,,,,
B,Maalhos,572,0.26,,,,,,,,,,,,,,,,,,,,,,
B,Thulhaadhoo,1625,0.46,"5.020859925529866, 72.84582170427082",OFID,Phase 1,Completed,13542,523,1927,OFID,Phase 1,Completed,12348,523,GOV (PSIP),,In progress,0% progress. Awarded to MTCC,,,,,,
Lh,Hinnavaru,2286,0.54,,,,,,,,,,,,,,,,,,,,,,
Lh,Kurendhoo,1171,0.23,,,,,,,,,,,,,,,,,,,,,,
Lh,Naifaru,4832,0.58,"5.442988951204812, 73.36826807966875",OFID,Phase 2,Completed,,,,IDB,,Completed,,,,,Completed,,,,,,,Yes
Lh,Olhuvelifushi,703,0.29,,,,,,,,,,,,,,,,,,,,,,
K,Dhiffushi,1270,0.27,"4.448545478677411, 73.71381732048205",,,Completed,,,,,,Completed,,,,,Completed,,OFID,Phase 2,Completed,,,
K,Gaafaru,1294,0.19,"4.735667653262015, 73.50472353152739",EXIM (India),,Completed,,,,EXIM (India),,Completed,,,,,Completed,,OFID,Phase 2,Completed,,,
K,Gulhi,976,0.11,,,,,,,,,,,,,,,,,,,,,,
K,Guraidhoo,1743,0.22,,,,,,,,,,,,,,,,,,,,,,
K,Himmafushi,2012,0.66,,,,,,,,,,,,,,,,,,,,,,
K,Huraa,1654,0.53,,,,,,,,,,,,,,,,,,,,Yes,,
K,Kaashidhoo,2528,2.83,,,,,,,,,,,,,,,,,,,,,,
K,Maafushi,4471,0.42,,,,,,,,,,,,,,,,,,,,Yes,,
K,Thulusdhoo,1801,0.77,,,,,,,,,,,,,,,,,,,,,,
AA,Bodufolhudhoo,704,0.12,,,,,,,,,,,,,,,,,,,,,,
AA,Feridhoo,544,0.45,,,,,,,,,,,,,,,,,,,,,,
AA,Himandhoo,885,0.21,,,,,,,,,,,,,,,,,,,,,,
AA,Maalhos,516,0.32,,,,,,,,,,,,,,,,,,,,,,
AA,Mathiveri,878,0.23,,,,,,,,,,,,,,,,,,,,,,
AA,Rasdhoo,1282,0.22,,,,,,,,,,,,,,,,,,,,,,
AA,Thoddoo,1924,1.63,,,,,,,,,,,,,,,,,,,,,,
AA,Ukulhas,1284,0.24,,,,,,,,,,,,,,,,,,,,,,
Adh,Dhagethi,936,0.3,,,,,,,,,,,,,,,,,,,,,,
Adh,Dhidhdhoo,141,0.2,,,,,,,,,,,,,,,,,,,,,,
Adh,Dhigurah,761,0.55,,,,,,,,,,,,,,,,,,,,,,
Adh,Fenfushi,1000,0.26,,,,,,,,,,,,,,,,,,,,,,
